电视频道,#genre#
广东体育,http://192.168.10.1:4022/rtp/239.20.0.114:2026$标清
经济科教,http://192.168.10.1:4022/rtp/239.20.0.98:3008$超清
经济科教,http://192.168.10.1:4022/rtp/239.20.0.102:2002$高清
经济科教,http://192.168.10.1:4022/rtp/239.20.0.191:2180$标清
广东影视,http://192.168.10.1:4022/rtp/239.21.0.85:3680$高清
广东影视,http://192.168.10.1:4022/rtp/239.20.0.117:2032$标清
现代教育,http://192.168.10.1:4022/rtp/239.21.0.148:3936$高清
现代教育,http://192.168.10.1:4022/rtp/239.20.0.128:2054$标清
岭南戏曲,http://192.168.10.1:4022/rtp/239.21.0.147:3932$高清
岭南戏曲,http://192.168.10.1:4022/rtp/239.20.0.115:2028$标清
南国都市,http://192.168.10.1:4022/udp/239.21.0.132:3872$超清
东莞新闻综合,http://192.168.10.1:4022/rtp/239.21.0.137:3892$高清
东莞生活资讯,http://192.168.10.1:4022/rtp/239.21.0.138:3896$高清
汕尾文化生活,http://192.168.10.1:4022/rtp/239.21.0.90:3700$高清
汕尾文化生活,http://192.168.10.1:4022/rtp/239.20.0.22:3316$标清
汕尾新闻综合,http://192.168.10.1:4022/rtp/239.21.0.89:3696$高清
汕尾新闻综合,http://192.168.10.1:4022/rtp/239.20.0.23:3312$标清
河源综合,http://192.168.10.1:4022/rtp/239.21.0.48:3532$高清
河源公共,http://192.168.10.1:4022/rtp/239.21.0.49:3536$高清
惠州1,http://192.168.10.1:4022/rtp/239.21.0.27:3448$高清
惠州2,http://192.168.10.1:4022/rtp/239.21.0.28:3452$高清
揭阳综合,http://192.168.10.1:4022/rtp/239.21.0.82:3668$标清
揭阳生活,http://192.168.10.1:4022/rtp/239.21.0.83:3672$标清
汕头综合,http://192.168.10.1:4022/rtp/239.21.0.101:3744$高清
汕头综合,http://192.168.10.1:4022/rtp/239.21.0.98:3732$标清
汕头经济生活,http://192.168.10.1:4022/rtp/239.21.0.102:3748$高清
汕头经济生活,http://192.168.10.1:4022/rtp/239.21.0.99:3736$标清
汕头文旅体育,http://192.168.10.1:4022/rtp/239.21.0.103:3752$高清
汕头文旅体育,http://192.168.10.1:4022/rtp/239.21.0.100:3740$标清
梅州综合,http://192.168.10.1:4022/rtp/239.21.0.149:3940$高清
客家生活,http://192.168.10.1:4022/rtp/239.21.0.150:3944$高清
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$标清
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$标清
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai$标清
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi$标清
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi$标清
财富天下,http://192.168.10.1:4022/rtp/239.20.0.167:2132$标清
天元围棋,http://192.168.10.1:4022/rtp/239.21.0.131:3868$高清
上海纪实人文,http://192.168.10.1:4022/rtp/239.20.0.57:3172$高清
金鹰纪实,http://192.168.10.1:4022/rtp/239.20.0.196:2190$高清
金鹰纪实,http://192.168.10.1:4022/rtp/239.20.0.85:3060$超清
求索纪录,http://192.168.10.1:4022/rtp/239.21.0.118:3816$超清
茶频道,http://192.168.10.1:4022/rtp/239.21.0.120:3824$超清
快乐垂钓,http://192.168.10.1:4022/rtp/239.21.0.121:3828$高清
谍战剧场,http://192.168.10.1:4022/rtp/239.20.0.228:2254$标清
相声小品,http://192.168.10.1:4022/rtp/239.20.0.229:2256$标清
自然传奇,http://192.168.10.1:4022/rtp/239.20.0.230:2258$标清
法治,http://192.168.10.1:4022/rtp/239.20.0.231:2260$标清
汽摩,http://192.168.10.1:4022/rtp/239.20.0.222:2242$标清
老故事,http://192.168.10.1:4022/rtp/239.20.0.227:2252$标清
环球奇观,http://192.168.10.1:4022/rtp/239.20.0.245:2288$标清
中学生,http://192.168.10.1:4022/udp/239.21.0.139:3900$标清
发现之旅,http://192.168.10.1:4022/udp/239.21.0.151:3948$标清
国学频道,http://192.168.10.1:4022/rtp/239.20.0.247:2292$标清
书画,http://192.168.10.1:4022/udp/239.21.0.140:3904$标清
中国交通,http://192.168.10.1:4022/rtp/239.20.0.68:3128$高清
CHC影迷电影,http://192.168.10.1:4022/rtp/239.21.0.119:3820$高清
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$标清
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$标清
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$标清
重温经典,http://[2409:8087:2801:22:100::76]/wh7f454c46tw1394075491_-2119906554/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236436/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717812218&from=5&hms_devid=330&online=1717812218&vqe=3$高清
咪咕奥运会,http://hlsbkmgsplive.miguvideo.com/migu/lunbo/yazhoubei/57/20240102/01.m3u8?&HlsSubType=&encrypt=$高清
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8$1机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao02_2/index.m3u8$2机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8$3机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao04_2/index.m3u8$4机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao05_2/index.m3u8$5机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao06_2/index.m3u8$6机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao07_2/index.m3u8$7机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao08_2/index.m3u8$8机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao09_2/index.m3u8$9机位
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao10_2/index.m3u8$10机位
